Fecha,Portafolio_Especulativo,SPY_Benchmark
2025-08-01,14437.68297497318,13147.342430974297
2025-08-04,14715.519095860265,13347.178990796574
2025-08-05,14659.548920449552,13279.509467893793
2025-08-06,14641.343399804728,13381.225219507036
2025-08-07,14713.901203657773,13370.017454776264
2025-08-08,14806.523842943736,13474.27081349836
2025-08-11,14763.367990112125,13447.62593885539
2025-08-12,14956.483951742137,13590.789273246592
2025-08-13,15132.820236112844,13637.312070242253
2025-08-14,15052.338562408426,13638.580873796682
2025-08-15,14939.035053064785,13606.64931767693
2025-08-18,15009.04509188424,13603.688776049932
2025-08-19,14857.163028112696,13529.886702634085
2025-08-20,14837.682605911188,13493.937268591983
2025-08-21,14695.01703858636,13439.801650269756
2025-08-22,14998.061765106924,13646.193695123242
2025-08-25,14908.148515524623,13586.136993547025
2025-08-26,15012.865726832162,13643.021686237174
2025-08-27,15064.141378126287,13674.107373320641
2025-08-28,15035.409051026632,13722.533375647943
2025-08-29,14823.467983242339,13640.695546387391
2025-09-02,14677.596159627807,13539.61419655136
2025-09-03,14626.316233075975,13612.993335449066
2025-09-04,14740.847109754868,13726.762720829369
2025-09-05,14560.018884546613,13687.006876123984
2025-09-08,14574.448772086555,13720.630170316304
2025-09-09,14556.156999406654,13752.350259176983
2025-09-10,14647.707455831502,13792.106103882368
2025-09-11,14741.503859693425,13906.721358298953
2025-09-12,14675.598609872479,13902.069078599387
2025-09-15,14678.749323925353,13976.082619274306
2025-09-16,14578.90585456678,13956.839098698827
2025-09-17,14431.508431100621,13939.498783454988
2025-09-18,14643.798607922443,14004.630699248917
2025-09-19,14650.25446562932,14035.08198455517
2025-09-22,14837.167447896241,14101.482703903524
2025-09-23,14729.086731832567,14024.720088860682
2025-09-24,14664.173139895396,13980.10049719666
2025-09-25,14634.285452923614,13915.602983179944
2025-09-26,14725.4590049659,13995.326139849785
2025-09-29,14831.802103025946,14034.659050037026
2025-09-30,14993.966648787771,14087.525864804824
2025-10-01,14999.510640349983,14135.528932613988
2025-10-02,15117.557512408828,14151.811911562469
2025-10-03,15086.469017125697,14151.600444303398
2025-10-06,15345.553025825868,14202.352586480485
2025-10-07,15379.846591263777,14149.697238971758
2025-10-08,15699.600596929766,14234.072675341164
2025-10-09,15593.172971723427,14192.836559822279
2025-10-10,15043.076596553561,13809.234951867133
2025-10-13,15264.870690043348,14021.12514545647
2025-10-14,15227.606630499726,14003.996297471704
2025-10-15,15309.867081920827,14066.167671638634
2025-10-16,15216.541410471347,13970.373003279383
2025-10-17,15241.140289247223,14049.673225431081
2025-10-20,15392.581652183862,14195.797101449276
2025-10-21,15423.577941650618,14195.585634190205
2025-10-22,15250.64054128104,14121.783560774358
2025-10-23,15271.565259139265,14205.524595366553
2025-10-24,15510.253504749337,14321.620120596637
2025-10-27,15704.610364150172,14490.582460594522
2025-10-28,15783.621210858335,14529.069501745478
2025-10-29,15917.786159618914,14536.047921294828
2025-10-30,15673.58824134516,14376.178673437007
2025-10-31,15731.059678059204,14423.335872209882
2025-11-03,15779.453456826577,14450.403681370995
2025-11-04,15509.375565404971,14279.115201523327
2025-11-05,15473.508114402495,14328.598540145987
2025-11-06,15167.977321659622,14174.861842801227
2025-11-07,15225.893391932354,14188.818681899927
2025-11-10,15637.254524063253,14410.224902147469
2025-11-11,15525.113525685296,14443.213794562575
2025-11-12,15700.658783327883,14451.24955040728
2025-11-13,15395.927302124763,14211.445678620545
2025-11-14,15416.102804743063,14209.119538770761
2025-11-17,15134.133704424237,14076.741034592194
2025-11-18,14883.720348754752,13958.530836771399
2025-11-19,14956.886313286659,14012.454987834552
2025-11-20,14604.25996266364,13798.873056172644
2025-11-21,14730.658676044979,13936.32677456892
2025-11-24,14933.118822302253,14141.45001586798
2025-11-25,14880.549144147497,14274.46292182376
2025-11-26,15032.576398500767,14373.006664550938
2025-11-28,15028.013829859376,14451.46101766635
2025-12-01,15032.008230729207,14385.483232836137
2025-12-02,15027.061755484314,14412.128107479108
2025-12-03,15042.803306652655,14462.03438061991
2025-12-04,15083.333635886545,14472.60774357347
2025-12-05,15010.413882722924,14500.098487252726
2025-12-08,15027.311049305565,14456.53623188406
2025-12-09,15009.23297035095,14444.059663598859
2025-12-10,15097.813556592539,14539.854331958111
2025-12-11,15160.508975692886,14573.6890934095
2025-12-12,14888.79081920409,14416.991854437747
2025-12-15,14915.952762493831,14395.210726753414
2025-12-16,14931.407423866558,14355.877816566172
2025-12-17,14627.00449684744,14197.911774039989
2025-12-18,14740.767433248253,14305.125674389084
2025-12-19,15015.64101966651,14383.785890881203
