Fecha,Portafolio_Agresivo,SPY_Benchmark
2025-05-30,11590.717218432621,12463.668782397124
2025-06-02,11603.70363313409,12533.875912408761
2025-06-03,11682.871315303018,12605.351845974825
2025-06-04,11674.17625755206,12601.968369829685
2025-06-05,11630.18372975662,12541.06579921718
2025-06-06,11723.978335823333,12669.849359991538
2025-06-09,11677.220309057257,12681.268591981381
2025-06-10,11704.863522355832,12753.16746006559
2025-06-11,11650.790788243728,12716.795091505344
2025-06-12,11677.61303912107,12767.335766423359
2025-06-13,11506.702853957768,12624.595366550304
2025-06-16,11625.708461392962,12744.70876970274
2025-06-17,11541.954455149003,12635.803131281076
2025-06-18,11492.49316876778,12633.899925949438
2025-06-20,11489.77496228468,12567.076272082937
2025-06-23,11651.036592225728,12691.207553157728
2025-06-24,11812.776006355429,12831.410345921931
2025-06-25,11669.614339202275,12838.600232730352
2025-06-26,11770.484731054543,12939.04718078917
2025-06-27,11880.14140813989,13003.333227546811
2025-06-30,11967.369616007489,13065.504601713743
2025-07-01,12021.309856062535,13061.275256532319
2025-07-02,12034.147501702268,13120.486089072254
2025-07-03,12127.923776356029,13223.893578758069
2025-07-07,11997.480829060556,13125.34983603089
2025-07-08,12015.242968757579,13118.15994922247
2025-07-09,12064.712662844924,13196.825769596953
2025-07-10,12113.719426724449,13234.044007193486
2025-07-11,12048.367782473568,13187.521210197823
2025-07-14,12084.58333482299,13212.685814027293
2025-07-15,12010.53727758215,13156.224055855286
2025-07-16,12128.009375868605,13200.209245742095
2025-07-17,12183.124300908454,13280.989738707289
2025-07-18,12140.673838270177,13271.262244790016
2025-07-21,12072.23421492558,13296.426848619487
2025-07-22,12157.849493018039,13298.33005395113
2025-07-23,12259.206026607882,13411.465037554219
2025-07-24,12325.202870029627,13415.905849994711
2025-07-25,12439.405474364085,13472.579075425792
2025-07-28,12456.949713011672,13469.195599280654
2025-07-29,12392.441486629032,13433.669099756693
2025-07-30,12381.577395581126,13416.751719030997
2025-07-31,12381.998449993356,13366.422511372053
2025-08-01,12126.663754563133,13147.342430974297
2025-08-04,12302.003203905333,13347.178990796574
2025-08-05,12277.038771270418,13279.509467893793
2025-08-06,12247.56195045264,13381.225219507036
2025-08-07,12299.12875448185,13370.017454776264
2025-08-08,12371.543307050304,13474.27081349836
2025-08-11,12337.012429410363,13447.62593885539
2025-08-12,12477.846077955912,13590.789273246592
2025-08-13,12700.573562074602,13637.312070242253
2025-08-14,12622.519391270136,13638.580873796682
2025-08-15,12551.557069331451,13606.64931767693
2025-08-18,12564.64136548368,13603.688776049932
2025-08-19,12540.323703855696,13529.886702634085
2025-08-20,12523.67890649675,13493.937268591983
2025-08-21,12413.563343990749,13439.801650269756
2025-08-22,12648.979926235952,13646.193695123242
2025-08-25,12526.210053561012,13586.136993547025
2025-08-26,12583.967102536877,13643.021686237174
2025-08-27,12627.894721778186,13674.107373320641
2025-08-28,12659.490593866429,13722.533375647943
2025-08-29,12587.228869163291,13640.695546387391
2025-09-02,12502.951887801906,13539.61419655136
2025-09-03,12476.114726199352,13612.993335449066
2025-09-04,12576.371021283514,13726.762720829369
2025-09-05,12438.494982274975,13687.006876123984
2025-09-08,12428.629372211848,13720.630170316304
2025-09-09,12390.482069452686,13752.350259176983
2025-09-10,12354.999052769444,13792.106103882368
2025-09-11,12488.56361279066,13906.721358298953
2025-09-12,12415.364429099498,13902.069078599387
2025-09-15,12407.657031938914,13976.082619274306
2025-09-16,12368.018974728991,13956.839098698827
2025-09-17,12325.472481392677,13939.498783454988
2025-09-18,12404.823461183754,14004.630699248917
2025-09-19,12410.733270280369,14035.08198455517
2025-09-22,12464.476945834229,14101.482703903524
2025-09-23,12457.13498502037,14024.720088860682
2025-09-24,12421.970755221007,13980.10049719666
2025-09-25,12360.571822921698,13915.602983179944
2025-09-26,12461.319553833773,13995.326139849785
