Fecha,Portafolio_Conservador,SPY_Benchmark
2024-12-27,11492.121538681547,12582.513381995135
2024-12-30,11403.10565603355,12438.927113085794
2024-12-31,11343.402112000815,12393.67311964456
2025-01-02,11289.527064564649,12363.221834338307
2025-01-03,11329.204166771458,12517.804400719351
2025-01-06,11359.705094218045,12589.914736062627
2025-01-07,11226.768006328797,12447.597270707713
2025-01-08,11217.067045120028,12465.783454987837
2025-01-10,11111.44677492995,12275.46292182376
2025-01-13,11123.484836335672,12294.49497514017
2025-01-14,11211.115660051562,12311.412355865865
2025-01-15,11352.102112206941,12535.356183222259
2025-01-16,11401.969693233788,12511.248915688142
2025-01-17,11541.424915402855,12636.860467576433
2025-01-21,11677.758569133961,12752.533058288374
2025-01-22,11695.955586207278,12824.220459113512
2025-01-23,11745.090870506205,12894.216121866077
2025-01-24,11812.584607691419,12856.574949751404
2025-01-27,11238.727232931808,12674.713106950176
2025-01-28,11336.403338318883,12783.618745371841
2025-01-29,11251.654633732942,12726.311118163547
2025-01-30,11415.239180830004,12794.615042843543
2025-01-31,11445.166370870087,12726.52258542262
2025-02-03,11375.477458445039,12640.878345498784
2025-02-04,11463.473841059436,12725.676716386333
2025-02-05,11583.015220980802,12777.274727599706
2025-02-06,11618.523210275724,12821.682852004657
2025-02-07,11488.407346216585,12704.318523220143
2025-02-10,11630.304063357451,12790.597164921192
2025-02-11,11639.156998181856,12800.324658838465
2025-02-12,11547.599174819416,12759.088543319584
2025-02-13,11586.540667372201,12893.793187347934
2025-02-14,11590.087568075376,12893.15878557072
2025-02-18,11482.93300106509,12931.011424944463
2025-02-19,11348.911396321513,12961.462710250715
2025-02-20,11168.136967275095,12907.53855918756
2025-02-21,10921.998720879446,12686.766740717236
2025-02-24,10745.402752076487,12629.036178990798
2025-02-25,10733.544055284085,12566.230403046653
2025-02-26,10889.902722321298,12572.574420818788
2025-02-27,10663.997582961192,12371.891991960225
2025-02-28,10726.887831267086,12564.961599492226
2025-03-03,10490.643055697778,12344.824182799113
2025-03-04,10432.040292384938,12198.700306780918
2025-03-05,10543.79131795299,12329.810007405056
2025-03-06,10379.940845986503,12110.941394266372
2025-03-07,10542.791246366247,12178.822384428224
2025-03-10,10334.256145005953,11854.431609013014
2025-03-11,10376.398504866886,11755.887866285835
2025-03-12,10435.024111576331,11818.27070771184
2025-03-13,10367.49892698852,11660.727599703798
2025-03-14,10489.176469425816,11901.588807785889
2025-03-17,10526.395162876224,11993.365598222787
