Fecha,Portafolio_Moderado,SPY_Benchmark
2025-05-12,11044.485853716285,12328.32973659156
2025-05-13,11087.287876024922,12409.74463133397
2025-05-14,11023.121070008561,12425.604675764309
2025-05-15,11104.686644207919,12486.295779117743
2025-05-16,11191.402412018473,12565.384534010369
2025-05-19,11205.64973770787,12579.129905849997
2025-05-20,11174.77959050824,12536.836454035758
2025-05-21,11016.417512314249,12325.580662223634
2025-05-22,11041.207884054944,12330.444409182272
2025-05-23,10985.584777985736,12246.280440071936
2025-05-27,11150.790616246211,12500.887019993654
2025-05-28,11078.213551315475,12428.565217391306
2025-05-29,11098.771374468492,12477.625621495821
2025-05-30,11140.42123473694,12463.668782397124
2025-06-02,11109.26256778826,12533.875912408761
2025-06-03,11172.09599926376,12605.351845974825
2025-06-04,11159.071130288872,12601.968369829685
2025-06-05,11131.377327262675,12541.06579921718
2025-06-06,11194.427625102528,12669.849359991538
2025-06-09,11104.581242039343,12681.268591981381
2025-06-10,11097.151056146413,12753.16746006559
2025-06-11,11076.044440497384,12716.795091505344
2025-06-12,11114.833979955163,12767.335766423359
2025-06-13,10972.441163476033,12624.595366550304
2025-06-16,10993.581733386663,12744.70876970274
2025-06-17,10938.175080448604,12635.803131281076
2025-06-18,10873.27807159888,12633.899925949438
2025-06-20,10868.065500738618,12567.076272082937
2025-06-23,10975.592012163497,12691.207553157728
2025-06-24,11064.961652806487,12831.410345921931
2025-06-25,10950.456923341364,12838.600232730352
2025-06-26,11051.045372815144,12939.04718078917
2025-06-27,11111.31377912798,13003.333227546811
2025-06-30,11219.155519763728,13065.504601713743
2025-07-01,11283.464000061029,13061.275256532319
2025-07-02,11255.91639649021,13120.486089072254
2025-07-03,11342.804318244622,13223.893578758069
2025-07-07,11255.317340688227,13125.34983603089
2025-07-08,11275.866345859271,13118.15994922247
2025-07-09,11321.63278386873,13196.825769596953
2025-07-10,11315.173950144217,13234.044007193486
2025-07-11,11198.788261904137,13187.521210197823
2025-07-14,11227.314819074832,13212.685814027293
2025-07-15,11129.918759416072,13156.224055855286
2025-07-16,11196.622044281876,13200.209245742095
2025-07-17,11236.347523662478,13280.989738707289
2025-07-18,11248.10495318294,13271.262244790016
2025-07-21,11188.765538497026,13296.426848619487
2025-07-22,11291.585771162123,13298.33005395113
2025-07-23,11366.25424976103,13411.465037554219
2025-07-24,11396.585312404764,13415.905849994711
2025-07-25,11461.075437110107,13472.579075425792
2025-07-28,11434.218504245517,13469.195599280654
2025-07-29,11413.528338589002,13433.669099756693
2025-07-30,11362.593717936568,13416.751719030997
2025-07-31,11391.21619257826,13366.422511372053
2025-08-01,11226.864610877015,13147.342430974297
2025-08-04,11347.452204756892,13347.178990796574
2025-08-05,11307.790015192808,13279.509467893793
2025-08-06,11337.375382918488,13381.225219507036
2025-08-07,11354.766790624031,13370.017454776264
2025-08-08,11371.693869648567,13474.27081349836
2025-08-11,11321.654622996002,13447.62593885539
2025-08-12,11412.701429882656,13590.789273246592
2025-08-13,11547.215844671371,13637.312070242253
2025-08-14,11478.795347662037,13638.580873796682
2025-08-15,11426.138141789626,13606.64931767693
2025-08-18,11493.684560705351,13603.688776049932
2025-08-19,11533.84063371858,13529.886702634085
2025-08-20,11519.895057366857,13493.937268591983
2025-08-21,11427.193609190777,13439.801650269756
2025-08-22,11648.398520729,13646.193695123242
2025-08-25,11589.371623781919,13586.136993547025
2025-08-26,11597.950861173873,13643.021686237174
2025-08-27,11636.598627463221,13674.107373320641
2025-08-28,11651.857064471416,13722.533375647943
2025-08-29,11635.330244660128,13640.695546387391
2025-09-02,11550.707885668591,13539.61419655136
2025-09-03,11548.331302815739,13612.993335449066
2025-09-04,11643.778964275853,13726.762720829369
2025-09-05,11622.149329274276,13687.006876123984
2025-09-08,11606.910556198658,13720.630170316304
2025-09-09,11552.897681992787,13752.350259176983
2025-09-10,11504.87913472155,13792.106103882368
2025-09-11,11639.65825749739,13906.721358298953
2025-09-12,11539.187319198021,13902.069078599387
2025-09-15,11527.336515274208,13976.082619274306
2025-09-16,11506.931108978122,13956.839098698827
2025-09-17,11463.955615037496,13939.498783454988
2025-09-18,11558.994483301465,14004.630699248917
2025-09-19,11568.9205476672,14035.08198455517
2025-09-22,11598.219926218844,14101.482703903524
2025-09-23,11610.854392378107,14024.720088860682
2025-09-24,11564.71335914221,13980.10049719666
2025-09-25,11502.920529971578,13915.602983179944
2025-09-26,11590.814306505474,13995.326139849785
2025-09-29,11603.22965337695,14034.659050037026
2025-09-30,11598.577882229925,14087.525864804824
2025-10-01,11555.747827349893,14135.528932613988
2025-10-02,11599.35044031083,14151.811911562469
2025-10-03,11603.49427241979,14151.600444303398
2025-10-06,11590.070808794444,14202.352586480485
