Fecha,Portafolio_Normal,SPY_Benchmark
2025-05-02,12255.020066490957,11985.118375119011
2025-05-05,12216.566258115341,11916.391515920874
2025-05-06,12161.083564392748,11816.79043689834
2025-05-07,12343.987738403735,11866.48524278007
2025-05-08,12469.445801672773,11949.168941076907
2025-05-09,12447.171192707756,11933.943298423783
2025-05-12,12886.105324504628,12328.32973659156
2025-05-13,13204.478910419382,12409.74463133397
2025-05-14,13306.276443249184,12425.604675764309
2025-05-15,13346.185169216382,12486.295779117743
2025-05-16,13398.028890744446,12565.384534010369
2025-05-19,13411.593811758985,12579.129905849997
2025-05-20,13364.981543279959,12536.836454035758
2025-05-21,13178.027991011408,12325.580662223634
2025-05-22,13194.066276088388,12330.444409182272
2025-05-23,13115.014151348181,12246.280440071936
2025-05-27,13419.444975706567,12500.887019993654
2025-05-28,13249.531504039729,12428.565217391306
2025-05-29,13375.164772638873,12477.625621495821
2025-05-30,13310.721594683504,12463.668782397124
2025-06-02,13425.04666822176,12533.875912408761
2025-06-03,13631.021870699235,12605.351845974825
2025-06-04,13674.81820514039,12601.968369829685
2025-06-05,13600.757907926098,12541.06579921718
2025-06-06,13557.37405941873,12669.849359991538
2025-06-09,13551.140507282276,12681.268591981381
2025-06-10,13605.47081246881,12753.16746006559
2025-06-11,13643.097392495334,12716.795091505344
2025-06-12,13730.955403891465,12767.335766423359
2025-06-13,13471.605120698034,12624.595366550304
2025-06-16,13631.817350433543,12744.70876970274
2025-06-17,13578.800659783823,12635.803131281076
2025-06-18,13592.608020822567,12633.899925949438
2025-06-20,13557.0787644934,12567.076272082937
2025-06-23,13676.075550170894,12691.207553157728
2025-06-24,13970.060224341223,12831.410345921931
2025-06-25,14093.311015210082,12838.600232730352
2025-06-26,14248.687923085437,12939.04718078917
2025-06-27,14346.271955579883,13003.333227546811
2025-06-30,14480.491295388183,13065.504601713743
2025-07-01,14303.555744290588,13061.275256532319
2025-07-02,14445.730567821138,13120.486089072254
2025-07-03,14637.476526016824,13223.893578758069
2025-07-07,14497.124122961237,13125.34983603089
2025-07-08,14560.141517755746,13118.15994922247
2025-07-09,14704.621056631924,13196.825769596953
2025-07-10,14756.198042442396,13234.044007193486
2025-07-11,14714.58386721544,13187.521210197823
2025-07-14,14709.590749797459,13212.685814027293
2025-07-15,14884.452384540888,13156.224055855286
2025-07-16,14964.57268137348,13200.209245742095
2025-07-17,15093.141372419934,13280.989738707289
2025-07-18,14994.371228793007,13271.262244790016
2025-07-21,14962.607051567657,13296.426848619487
2025-07-22,14855.007508601504,13298.33005395113
2025-07-23,15072.266281173204,13411.465037554219
2025-07-24,15220.754911510865,13415.905849994711
2025-07-25,15336.708404303889,13472.579075425792
2025-07-28,15486.8364405238,13469.195599280654
2025-07-29,15616.549929006598,13433.669099756693
2025-07-30,15739.867523783161,13416.751719030997
2025-07-31,15639.747957619278,13366.422511372053
2025-08-01,15343.751808076147,13147.342430974297
2025-08-04,15690.170576453866,13347.178990796574
2025-08-05,15577.818762942556,13279.509467893793
2025-08-06,15611.115790903881,13381.225219507036
2025-08-07,15673.04612439386,13370.017454776264
2025-08-08,15734.184691737979,13474.27081349836
2025-08-11,15694.051478856467,13447.62593885539
2025-08-12,15926.34259463599,13590.789273246592
2025-08-13,16000.976352653444,13637.312070242253
2025-08-14,15965.017108872753,13638.580873796682
2025-08-15,15815.213117240732,13606.64931767693
2025-08-18,15886.761384428464,13603.688776049932
2025-08-19,15589.820393693542,13529.886702634085
2025-08-20,15532.576168844376,13493.937268591983
2025-08-21,15435.079721851549,13439.801650269756
2025-08-22,15708.170974362109,13646.193695123242
2025-08-25,15668.768472326194,13586.136993547025
2025-08-26,15783.24754349908,13643.021686237174
2025-08-27,15836.800696660177,13674.107373320641
2025-08-28,15938.029360736102,13722.533375647943
2025-08-29,15646.091391937112,13640.695546387391
2025-09-02,15528.306910595744,13539.61419655136
2025-09-03,15552.517612478992,13612.993335449066
2025-09-04,15667.255275349506,13726.762720829369
2025-09-05,15748.533980893606,13687.006876123984
2025-09-08,15886.531437786509,13720.630170316304
2025-09-09,15841.020843234655,13752.350259176983
2025-09-10,16168.93549867574,13792.106103882368
2025-09-11,16190.668766320237,13906.721358298953
2025-09-12,16104.4367251638,13902.069078599387
2025-09-15,16184.455730936197,13976.082619274306
2025-09-16,16083.830911933004,13956.839098698827
2025-09-17,15800.303973028924,13939.498783454988
2025-09-18,16049.808494931856,14004.630699248917
2025-09-19,16079.394251088872,14035.08198455517
2025-09-22,16184.641476498939,14101.482703903524
2025-09-23,16087.354806601104,14024.720088860682
2025-09-24,16001.075762617158,13980.10049719666
2025-09-25,15931.791450028764,13915.602983179944
2025-09-26,15969.99598571174,13995.326139849785
2025-09-29,15995.276243080385,14034.659050037026
2025-09-30,16159.676709022298,14087.525864804824
2025-10-01,16215.117655376964,14135.528932613988
2025-10-02,16345.788570828989,14151.811911562469
2025-10-03,16287.885948419858,14151.600444303398
2025-10-06,16509.80656258219,14202.352586480485
2025-10-07,16552.611894970676,14149.697238971758
2025-10-08,16933.20881029143,14234.072675341164
2025-10-09,16896.46625269715,14192.836559822279
2025-10-10,16187.2519597016,13809.234951867133
2025-10-13,16693.90647855529,14021.12514545647
2025-10-14,16496.735782158074,14003.996297471704
2025-10-15,16628.43664698084,14066.167671638634
2025-10-16,16609.01138662053,13970.373003279383
2025-10-17,16555.541145467905,14049.673225431081
2025-10-20,16651.0005393693,14195.797101449276
2025-10-21,16610.744070944103,14195.585634190205
2025-10-22,16487.219173314636,14121.783560774358
2025-10-23,16549.4684886729,14205.524595366553
2025-10-24,16862.830071112417,14321.620120596637
2025-10-27,17100.882009037858,14490.582460594522
2025-10-28,17285.099527288352,14529.069501745478
2025-10-29,17545.795752893828,14536.047921294828
2025-10-30,17252.734401801677,14376.178673437007
2025-10-31,17238.53124685547,14423.335872209882
2025-11-03,17216.4556705421,14450.403681370995
2025-11-04,16874.91571056458,14279.115201523327
2025-11-05,16878.11202679971,14328.598540145987
2025-11-06,16602.7007837443,14174.861842801227
2025-11-07,16569.010646082912,14188.818681899927
2025-11-10,17025.215109713383,14410.224902147469
2025-11-11,16805.039251892955,14443.213794562575
2025-11-12,17016.698098853576,14451.24955040728
2025-11-13,16623.1762427932,14211.445678620545
2025-11-14,16694.79769584317,14209.119538770761
2025-11-17,16461.106665733834,14076.741034592194
2025-11-18,16203.414205570585,13958.530836771399
2025-11-19,16390.775768833802,14012.454987834552
2025-11-20,16009.682372523956,13798.873056172644
2025-11-21,15984.53107891031,13936.32677456892
2025-11-24,16515.591679446206,14141.45001586798
2025-11-25,16440.801190803242,14274.46292182376
2025-11-26,16689.516789685873,14373.006664550938
2025-11-28,16725.332317712742,14451.46101766635
2025-12-01,16585.370221530055,14385.483232836137
2025-12-02,16584.084544874837,14412.128107479108
2025-12-03,16673.425086526833,14462.03438061991
2025-12-04,16718.34022522543,14472.60774357347
2025-12-05,16750.631286554388,14500.098487252726
2025-12-08,16906.220694882835,14456.53623188406
2025-12-09,16950.080132238025,14444.059663598859
2025-12-10,17070.006136139913,14539.854331958111
2025-12-11,17020.07524133216,14573.6890934095
2025-12-12,16307.960030105565,14416.991854437747
2025-12-15,16155.245127271523,14395.210726753414
2025-12-16,16196.904326224403,14355.877816566172
2025-12-17,15765.019487060077,14197.911774039989
2025-12-18,15887.206641630184,14305.125674389084
2025-12-19,16185.848190998544,14383.785890881203
