ticker,return_annualized,volatility_annual,sharpe_ratio,sortino_ratio,max_drawdown,var_95,cvar_95,beta,skewness,kurtosis,cluster_kmeans,cluster_agglomerative,cluster_hierarchical,is_outlier_dbscan
GDXJ,-0.1331681598294537,0.387711167138495,-0.3041124991843678,-0.3206842595441448,-0.5505675954592364,-0.0396002520739667,-0.0505006803262867,0.8140589803170836,0.2582736840102358,0.7806057763921568,2,0,0,False
GE,0.2516573506993722,0.3092255214907669,0.7185470739753302,0.7243528303114323,-0.4678564029630956,-0.0292897539155293,-0.0422079373356578,0.9830190643713486,-0.136320481504464,2.033065536125774,1,2,1,False
GILD,0.1052615278174777,0.217105715704908,0.3375577689556542,0.3750314686569885,-0.2161868549701249,-0.0195548335379411,-0.0264470936210653,0.4829500113627343,1.3124764492401522,11.050662811041953,-1,-1,-1,True
GIS,0.0335861988875767,0.2023261114031,0.0172472719645284,0.0169240506167302,-0.3209358790420483,-0.0194064027926046,-0.0290724513032842,0.2052381881982346,-0.2007423958482471,3.880766262324012,3,3,2,False
GL,0.0968416939625698,0.2270561213976905,0.300215228570131,0.2914594317547029,-0.1993614423889566,-0.0235575126957927,-0.0327669483945356,0.7318142231049926,-0.2155758532522842,1.682346514403346,3,1,3,False
GLD,0.016006185714841,0.1408218158867711,-0.1720545546470007,-0.1713101065323476,-0.210328442378988,-0.0152610233669257,-0.0199540055267391,0.1122243204310306,-0.0391930659294593,1.1646401146120335,3,3,2,False
GLW,-0.044901608309538,0.2692379194472136,-0.2221559183330474,-0.2266674969431857,-0.425081081081081,-0.0266031284859737,-0.0365646611472432,0.9990962331009264,0.3494769430195421,3.242386482693656,0,1,3,False
GM,-0.0395307685795885,0.3912539651977878,-0.0358305253025191,-0.0366248276132441,-0.5946151505932461,-0.0379767146441481,-0.051478376459489,1.3401074338365009,0.1848928067351471,1.0234672209339002,2,0,0,False
GNRC,-0.1691439584580409,0.5740322955229553,-0.1174162167309905,-0.1151272138610979,-0.837485172004745,-0.0589358921080413,-0.0796947294365673,1.8493095254237988,-0.5095129771842242,6.471892727430026,-1,-1,-1,True
GOOG,0.1782896785341532,0.3170495974080335,0.517875648968894,0.5219117180184792,-0.4460221617676332,-0.0302828577914784,-0.0433781584221702,1.3305802969657248,-0.0246369894796938,2.5879464992641465,1,2,1,False
GOOGL,0.1752585888534485,0.3173692832133735,0.5095151432103243,0.5150485731728336,-0.4432060864922584,-0.0305751533627338,-0.0433785835880268,1.3336999365728115,-0.0058414337472348,2.396629869852493,1,2,1,False
GPC,0.1213273524046154,0.2399918938096664,0.3896840093667438,0.3546757283419506,-0.3212302434856898,-0.0235990058197043,-0.0348642102345208,0.7702864288355599,-1.05492302134762,7.1362317694839295,3,1,3,False
GPN,-0.1514358042052593,0.3455117300295934,-0.4451571694290408,-0.42402351093973,-0.575214376938515,-0.0333946440987783,-0.0523761739027418,1.19807311661471,-0.5533493931301081,3.855854966965029,2,0,0,False
GRMN,0.0267813962189984,0.2528301249213514,0.0332233917816695,0.0321574606791074,-0.5600964233658482,-0.0240588446355618,-0.0363792963246135,0.976409035587293,-0.1453163311882935,5.426698157964864,3,1,3,False
GS,0.1342213200824091,0.2644497339701255,0.4188562910627129,0.4351121030623384,-0.3398843930635838,-0.0244344623590492,-0.0346801053649564,0.9832154507971336,0.0430036298670331,1.0703193711453172,3,2,1,False
GWW,0.28352003471025,0.2565506702924659,0.9046315447908626,0.9423592659089368,-0.1711441946775758,-0.0242465843078105,-0.0326912708407718,0.8087995202626439,0.8371891206152328,7.141281731715584,1,2,1,False
HAL,0.2445277104106833,0.444043779387865,0.6016057162624906,0.6200354554808711,-0.4575285082615778,-0.042923916279811,-0.0581020548374538,0.9570595598590904,-0.0162791367581955,0.5399354532847065,1,2,1,False
HAS,-0.1790828049477574,0.3170346096329761,-0.6213570788660386,-0.6082813138600912,-0.5873749037721324,-0.0311678010866813,-0.0444688077319649,0.9063629721272884,0.3378258429927268,7.8117364151781565,0,0,0,False
HBAN,0.0042546447465932,0.3419573811120136,0.0385282502725047,0.0378621333724867,-0.4736245036868973,-0.0309171193402007,-0.0483692877463867,1.0978473234703294,-0.5115999271321453,6.450627890935577,2,1,3,False
HCA,0.1838785441147878,0.3141272909423875,0.5377495945079867,0.5229334689157525,-0.3967509812472743,-0.0254716881828108,-0.0424452158175913,0.9317508335772334,-1.0690734514979952,24.62825664306423,-1,-1,-1,True
HD,0.0956594995290582,0.2486448363784577,0.2906990897477517,0.2737684842485818,-0.3594598491037532,-0.0253103030849036,-0.0361550990216617,0.9223014088638458,-0.3373823363044449,3.5997555650037936,3,1,3,False
HDV,0.054520432034719,0.1397112619074798,0.0916163102880202,0.0878990148349941,-0.1694868995633187,-0.0141362222365254,-0.020192196117249,0.6055789842864463,-0.1552552136068908,1.426847557886218,3,1,3,False
HIG,0.1863717896840107,0.2604973103769609,0.5914056469579801,0.6403547354788343,-0.19535500995355,-0.0236664438734887,-0.0323962140631144,0.7179313755232637,1.9046475266892076,21.930680893833937,-1,-1,-1,True
HII,0.1664794597396319,0.2386518218779112,0.5542836899232458,0.5648298486723061,-0.2511268262356233,-0.0232095653983678,-0.0318717678904476,0.5366366151693298,0.2025266412910569,2.863285902637277,1,1,3,False
HLT,0.1934923551531995,0.3017179638930054,0.5708517437109908,0.5761310655175288,-0.3272649258305749,-0.0291784574322492,-0.0414439391269517,1.0978890629657134,0.0030473295182476,1.2399902055016114,1,2,1,False
HOLX,-0.0077191298172052,0.2506940931990439,-0.1050546544055656,-0.1046864927839873,-0.2771141901576683,-0.0240713902797626,-0.0354960897486503,0.6660468538573302,-0.0033062758121937,4.053396003865695,3,1,3,False
HON,0.0028336799384609,0.2092361210756773,-0.1206688079574947,-0.1157161293443107,-0.2869833212472806,-0.0204613758973402,-0.0297757861813756,0.8148840562751875,-0.2954551929980096,2.317046517428303,3,3,2,False
