ticker,return_total,return_annualized,return_mean_daily,volatility_annual,downside_dev_annual,max_drawdown,var_95,cvar_95,sharpe_ratio,sortino_ratio,calmar_ratio,beta,alpha_annual,r_squared,correlation_spy,skewness,kurtosis,positive_return_ratio,gain_loss_ratio,vol_of_vol,momentum_6m,segmento,segmento_nombre,pca_1,pca_2
TMO,8.508957362952346,0.1892248254449957,0.0008097063827686,0.2475041226187421,0.1745748441485414,-0.3534410407049936,-0.0238322753097668,-0.0358605545885855,0.6223977476730961,0.8824066789751044,0.5773127196850403,0.9587714333621078,0.0892827240982834,0.4520373154017698,0.6723372036424653,-0.0441995770623111,3.607591580556577,0.5308491142333537,1.0152682470104468,0.0061044430777051,0.0225000481593495,0,Conservador,0.2805596153880484,2.1196615845100357
TMUS,5.410635745701719,0.1930124048291468,0.0010179476198638,0.4122335791650289,0.2793860793432727,-0.7010447361371551,-0.0294866709444088,-0.0490776838482259,0.5009849042962646,0.7392021846297885,0.3659150222269289,0.9477497647718136,0.1392368584644122,0.1761061241386534,0.4196500019524048,5.880670815681159,170.472963283894,0.5188536953242836,1.052787821779407,0.0166151198653381,0.1507213091222277,-1,Outliers,-2.1137035969595934,0.6547779880042554
TPR,-0.3415026833631484,-0.0316271246406665,0.0002039005003102,0.4055608975045294,0.3273214695142801,-0.8661267872959636,-0.034427067821971,-0.0603895513362242,0.0034099097982379,0.0042249782155598,0.0593249473770458,1.339228640801294,-0.0890363250303157,0.3283777257305351,0.5730425165121128,-0.5189722842583145,18.694053521326108,0.5077862595419848,0.98183822631922,0.0131052294681674,-0.1543762922122673,2,Moderado,-1.6982157492450909,-2.6760821384273825
TRMB,1.6375805651958353,0.0774827706242116,0.0005352853109658,0.3478175371737317,0.2488418426089796,-0.5965965965965966,-0.0307573270172678,-0.048197167599429,0.2440702071931197,0.3411480057909278,0.2261023598406543,1.2697540818812854,-0.0008777040777794,0.4014627675463421,0.633610896012957,0.4866463987763973,13.339172573208693,0.5048869883934025,1.032785559357083,0.0096802854905594,0.0195477194327329,2,Moderado,-0.8702475881926479,-0.4631510881301175
TROW,0.6636799011277614,0.0399454506623084,0.0003196946084367,0.2879574063713992,0.2101034941708883,-0.6051726448385224,-0.0271745498937007,-0.0422801323745371,0.1061373684087189,0.1454666018129229,0.133124063047425,1.3312976198039974,-0.0593637163121514,0.6438768263321838,0.8024193581489568,0.2596343574620813,9.022513054737646,0.5192425167990226,0.96297313542871,0.008561766200524,-0.0491788804520573,2,Moderado,-0.03041147325687993,-0.7856414659796497
TRV,2.4144111848001435,0.0990990193550349,0.0004771550108883,0.2251606899029146,0.1857621904321203,-0.4723890718852936,-0.0199225763835908,-0.0328967501930888,0.3119685890736436,0.3781343371353499,0.2545424310176636,0.824406660989416,0.0145558768770086,0.4038376750598257,0.635482238193819,-1.2585745433178348,23.88995223141166,0.5348197923029933,0.9521081376299898,0.0074284931251002,0.100525738055347,1,Alto Rendimiento,1.24898909723494,0.5232791625500975
TSLA,145.16470588235293,0.4674969091313885,0.0021467294704494,0.5620010544584693,0.3819217840278165,-0.7363221699148718,-0.0507146975842466,-0.0769859465932598,0.8736208280362715,1.285540252182909,0.7346999026469749,1.428441588747734,0.3944871686898408,0.1946075573027227,0.4411434656693021,0.3350566714024339,4.895973981586419,0.5116065974343311,1.09362165193205,0.0132033944984636,-0.1120005717961546,-1,Outliers,-5.674594939772333,1.9102858609256441
TSN,2.0837636259323005,0.0905186799001822,0.0005037226397826,0.2834113373746606,0.2182084581313449,-0.5441517812090019,-0.0252792300700565,-0.0413963701676446,0.2714715153526559,0.3525899311332424,0.2332770186714992,0.6839539639049143,0.0307382462058489,0.1754398684309182,0.4188554266461379,0.0126672923340024,16.936202398621145,0.5207697006719609,0.986460117929946,0.0077980398751271,0.0374445087820882,1,Alto Rendimiento,0.4103565168495357,-0.1476763565615454
TT,7.401653461935929,0.1778906702907658,0.0008014347910639,0.2758757843262434,0.2052221086389833,-0.4914728682170543,-0.0265779257522264,-0.0407875252281944,0.5508332952065375,0.7404736670717871,0.4109312647934784,1.1033749122497571,0.0770415272303452,0.4817332174383892,0.6940700378480469,-0.1697194057003296,5.568423501333159,0.5319083969465649,0.9930820952486724,0.0074433816594171,0.2756276150627617,0,Conservador,-0.3633100177013812,1.37827215897255
TTWO,11.927710843373491,0.2176648545860067,0.0010286772580289,0.3528401065961905,0.2471217801103908,-0.5614043311146527,-0.0324519329753983,-0.049456811040742,0.5929787037014972,0.846654102806496,0.4617468278319473,0.9552439305049728,0.1447016611317279,0.2207911567152289,0.4698841950047148,0.1502365613104556,5.912322473396381,0.5140500916310323,1.0575863247054424,0.0079454933637193,0.0894875786908548,0,Conservador,-1.45231671678373,1.1482349657910298
TXN,4.729747899159664,0.1569206204238926,0.0007222752536255,0.2690989848470865,0.1912380850372032,-0.3035381750465549,-0.0263641946245115,-0.0384614423027829,0.4905754809467263,0.690308961669186,0.5996391191510562,1.1838651533759628,0.0442468054143582,0.5474129418707185,0.7398735985766207,0.120917008260249,5.589151096336481,0.5326483261518065,0.9741750487228378,0.0069687761535454,-0.05173564753004,0,Conservador,0.15600906717783689,1.6369094572055873
TXT,2.353628023352794,0.0975809624374226,0.0005990892145443,0.3400105866467695,0.2492931853843897,-0.7004149377593362,-0.0296603443379664,-0.0482320743429372,0.2969627594862972,0.4050270443995137,0.2155443493940061,1.360480126162836,0.0090724986562844,0.4822902863637086,0.6944712278875984,0.1175544322089808,9.636369296793058,0.5109957238851558,1.0252594137482527,0.0104178404857651,0.181951793062904,2,Moderado,-1.140672805999784,-0.37854615363767435
UAL,-0.5316153933477126,-0.1333012750185012,0.0001047568749759,0.580133742173118,0.435316703275889,-0.7940020682523268,-0.0489058771184726,-0.0835029721535882,-0.0406824595612199,-0.0542163149919367,0.0332476873165444,1.4547630815010304,-0.1209531869708765,0.2804175188156493,0.5295446334499571,0.0629443126847107,11.224416841115028,0.503370786516854,0.9880740845905248,0.0210958201151763,-0.2506356701779877,-1,Outliers,-3.660186033834684,-4.092214938852172
